Timestamp,10th %,12th %,Sem 1 GPA,Sem 2 GPA,Sem 3 GPA,Sem 4 GPA,Sem 5 GPA,Sem 6 GPA,Sem 7 GPA,Gender,Part of some council or club in Sem 8?,Average number of hours spent studying (actually) daily before exams?,"How would you rate your study environment (separate room, noise, etc)? [5 being excellent and 1 being poor]",Average number of hours spent travelling to and from college daily?,Average number of hours spent for hobbies daily?,Coaching classes?,"Preparing for competitive exams (GATE, GRE, GMAT, etc)?",Attending placement interviews?
1/16/2020 16:46:34,96,92.8,9.77,9.63,9.42,9.14,9,9.3,9.25,Male,Yes,6,5,3,1,No,No,No
1/16/2020 16:46:47,87.2,79.54,7.77,7.81,8.48,8.48,8.27,8.35,8.08,Male,No,6,5,0,4,No,No,No
1/16/2020 16:48:33,91.8,87.38,7.31,7.18,8.7,7.62,7.18,8.04,8.46,Male,No,2,4,4,6,No,No,No
1/16/2020 16:48:52,94.4,89.5,8.46,9.31,8.8,8.5,8.2,8.02,8.75,Female,No,2,4,2,2,No,Yes,No
1/16/2020 16:49:26,92.2,85.6,9.27,9.73,9.22,9.29,8.45,8.7,8.88,Male,Yes,1,3,2.5,2,No,No,Yes
1/16/2020 16:50:01,94.4,88.15,9.58,9.35,9.17,9.1,8.86,9.3,9.1,Male,No,5,3,3,2,No,No,Yes
1/16/2020 16:51:37,93.8,85.23,8.77,9.58,9.17,8.81,8.23,8.52,8.79,Male,No,4,1,3,4,No,No,Yes
1/16/2020 16:58:48,88,83.34,9.08,8.88,9.09,8.71,7.64,7.65,7.67,Male,No,7,4,1,5,No,Yes,No
1/16/2020 17:01:03,93.2,89.8,8.62,9.19,8.26,8.19,7.91,8.91,8.54,Female,No,2,4,2,3,No,Yes,Yes
1/16/2020 17:03:55,93.6,89.69,9.38,9.27,8.83,9.14,8.18,8.57,9.13,Male,No,5,2,1,2,No,No,Yes
1/16/2020 17:04:56,92.14,88.77,8.81,8.89,9.32,9.22,8.91,9.19,9.35,Male,No,1,3,2.5,2,No,Yes,Yes
1/16/2020 18:47:29,93.2,80.3,7.58,7.22,7.98,7.04,6.45,6.3,6.25,Male,No,1,4,1,4,No,No,Yes
1/17/2020 11:11:14,94.67,89.7,9.35,9.62,9.35,9.57,8.82,8.7,9.21,Female,No,2,4,2,2,No,Yes,No
1/17/2020 13:14:30,92.6,85.7,9.19,9.46,8.65,8.38,7.95,8.48,8.54,Male,No,8,5,1.5,1,No,Yes,Yes
1/18/2020 23:22:48,92,86.92,8.81,9.04,8.96,8.24,8.18,7.87,6.83,Male,No,0,4,1,1,No,Yes,Yes
1/22/2020 15:57:10,95.5,84.07,7.69,7.96,8.78,8.14,7.77,8.3,8.46,Female,No,5,5,1,3,No,Yes,No
1/22/2020 15:57:24,93,83,7.54,8.12,8.09,7.05,7.27,7.57,7.45,Male,No,1,4,3,3,No,No,No
1/22/2020 15:57:55,91.4,80,7.2,7.6,8.04,7.8,7.5,8.4,7.96,Male,No,1,3,0.5,6,No,No,No
1/22/2020 15:58:03,91,84,7.8,7.7,8.5,7.5,7,8,8.17,Male,No,2,4,3,10,No,No,Yes
1/22/2020 15:58:24,90.18,79.93,7.1,6.9,8.5,7.5,7.77,7.91,8.04,Male,No,3,5,4,4,No,No,No
1/22/2020 15:59:01,92,93.38,9.27,9.54,9.17,9.05,8.5,8.39,9,Male,No,0.5,4,3,1.5,No,Yes,No
1/22/2020 15:59:10,89.8,82.92,8.38,8.04,8.26,7.76,7.18,7.57,7.96,Male,No,0.5,4,3,0,No,No,No
1/22/2020 15:59:11,93.4,78.15,8.31,8.23,8.52,7.62,7.05,8.04,8.21,Male,No,0.5,4,3,0.5,No,No,Yes
1/22/2020 15:59:38,86.4,85.69,8.54,8.42,8.78,7.76,7.5,7.57,8.04,Male,No,5,3,4,10,No,Yes,No
1/22/2020 16:00:12,93.6,79.85,8.54,8.19,8.35,7.67,7.82,7.96,8.83,Male,No,6,4,2,2,Yes,No,No
1/22/2020 16:00:37,93.4,87.08,9.5,9.46,9.22,9.29,9.05,9.26,9.29,Male,No,2,4,3,2,No,Yes,Yes
1/22/2020 16:00:45,93,91.54,9.73,8.96,9.38,8.92,8.91,9.17,9,Female,No,5,3,2,3,No,No,Yes
1/22/2020 16:01:25,93.4,90.1,9.17,8.85,9.17,8.67,8.45,8.35,8.67,Male,No,6,4,2,5,No,No,No
1/22/2020 16:02:24,94.4,84,8.64,7.79,8.22,8,7.36,8.43,8.79,Male,No,3,4,2,5,No,Yes,No
1/22/2020 16:02:26,89.4,83.85,8.77,8.08,8.91,9.19,8.4,8.83,8.88,Female,No,2.5,5,2,5,No,Yes,No
1/22/2020 16:02:27,91.33,82.46,8.23,8.5,8.57,8.48,7.95,8.35,8.38,Female,No,3,4,0.5,4,No,Yes,No
1/22/2020 16:07:23,90,82.15,8.15,8.46,8.65,8.43,7.95,8.7,8.25,Male,No,4,3,2,2,No,No,No
1/22/2020 17:28:15,97,93,9.7,9.85,9.22,9.2,8.91,9,8.81,Male,Yes,4,3,3,4,No,Yes,No
1/23/2020 15:52:20,95,76,7.96,7.73,8.74,8.1,8.36,8.17,8.29,Male,No,3,3,4,4,No,Yes,Yes
1/23/2020 15:59:49,94.6,86.4,8.62,8.12,8.65,9.05,8.36,8.96,9.21,Male,No,3,4,1,3,No,No,No
1/28/2020 23:10:12,88,84,8.64,8.42,8.75,8.95,8.14,8.17,8.75,Male,No,1,3,0.5,3,No,Yes,Yes